,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크
10,원티드,데이터 분석가,콘센트릭스서비스코리아CATALYST,Data 분석 컨설턴트,데이터 분석가,상시채용,1,3,7,999,,999,999,정규직,999,서울,강남,999,"프로젝트 관리, 데이터 분석, 데이터 시각화, 보고서 작성, EDA","커뮤니케이션, 문제 해결능력, 데이터 문해력","MS Office, SQL","데이터 분석, 통계, 고급 통계적 분석 기법, 데이터 추출","프로젝트 경험, 영어로 소통",SQL,컨설팅,2014,1372,"3,962",중소기업,999,"1,266억 9,932만원",,999,2.5,2.3,2.8,2.6,2.6,2.1,24,32,18,"수평적인 기업 문화, 퇴사율 10% 이하, 다양한 근무 지원 제도 운영 ,건강검진
 
 단체보험
 
 교육비
 
 택시비
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 주차
 
 IT, 컨텐츠",1068,1118,https://www.wanted.co.kr/wd/187104
11,원티드,데이터 분석가,버즈빌,Data Analyst,데이터 분석가,상시채용,1,4,10,999,,"• 사전과제: SQL 테스트 
 • 1차 인터뷰(Job-fit): 실무진 인터뷰
 • 레퍼런스 체크 
 • 2차 종합 인터뷰: CEO 인터뷰
 • 처우 협의 
 • 오퍼레터 전달(모든 전형은 영업일 1주일 이내로 합격/불합격 전달 드립니다.)","• 서류전형: 경력기술 중심의 이력서, 본인이 진행했던 프로젝트에 대한 문제해결 과정이 잘 나타나있는 포트폴리오(선택)",정규직,999,서울,송파,999,"AARRR, Funnel 분석, Carrying Capacity, 코호트 분석, 프레임워크, 데이터 분석, SQL 고급 능력, 제품 분석, 서비스 분석","논리적 사고, 분석적 사고, 문제 정의, 인사이트 도출, 액션 도출, 경력 2년","SQL, Python, R","데이터 마이닝, 통계적 분석, 대용량 데이터 분산처리, 데이터베이스, 제품-유저 인터랙션 개선, 기술 고도화, 빅데이터","회사 목표에 관심, B2B2C 사업 경험, 모바일 광고 도메인 경험, 문제 정의, 문제 해결 능력, 스타트업 경험, 해외 컨퍼런스/아티클 적용",999,마케팅,2013,108,"6,969",스타트업,999,"690억 9,875만원",,999,4,3.6,3.8,4.2,3.7,4,73,89,44,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,음료
 
 간식
 
 건강검진
 
 자기계발
 
 교육비
 
 동호회
 
 수면실
 
 휴게실
 
 리프레시휴가
 
 연봉상위6~10%
 
 51~300명
 
 설립10년이상
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",29,24,https://www.wanted.co.kr/wd/202826
12,원티드,데이터 분석가,바비톡,Data Analyst,데이터 분석가,상시채용,1,7,11,999,,999,• 서류 전형 ＞ 1차 인터뷰＞ 2차 인터뷰 ＞ 처우 협의 ＞ 입사,정규직,999,서울,강남,999,"빅데이터 핸들링 역량, 데이터 분석, 코호트 분석, A/B 테스트, Funnel 분석, Retention, 로그 데이터,","협의 능력, 실행 능력, 모바일 서비스 데이터 분석 방법에 대한 이해","SQL, Amazon Athena, Trino, Google BigQuery, Amazon Redshift, Snowflake, Amplitude, Google Analytics, Firebase","데이터 시각화 , 데이터 분석, 데이터 적재, 빅데이터, 데이터 가공","Agile 조직 경험, 스타트업 경험, 이해력","Tableau, Amazon Quicksight, Python, R, Spark",의료,2014,77,6302,중소기업,999,"223억 5,455만원",,999,3.5,3.7,3.5,3.5,3,2.7,57,62,38,"퇴사율 10% 이하, 재택근무 ,음료
 
 과일
 
 간식
 
 건강검진
 
 자기계발
 
 재택근무
 
 식비
 
 51~300명
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",999,999,https://www.wanted.co.kr/wd/197955
13,원티드,데이터 분석가,식스티헤르츠,Data Scientist,데이터 사이언티스트,2024.4.25,0,3,8,"관련 석사,박사",,"이력서, 본인이 수행한 분석 프로젝트 혹은 연구 주제에 대해 기술한 문서(문제와 해결 방법을 중심으로 자유롭게 작성)",999,정규직,999,서울,성동,999,"데이터 분석, 시계열 데이터, 이미지 데이터, 몬테카를로 시뮬레이션, MILP, 통계, 머신러닝, 수학","석사 학위, 박사 학위, 프로젝트 관리 및 설명능력","Python, Numpy, Pandas, Scikit-learn, Tensorflow","분산 차원, 가상발전소(VVP) 재생에너지, 전력 시스템, 기상/기후/환경, 모델링, 수치예측모델 시뮬레이션, 머신러닝, 데이터 수집, 자동화, 소스버전 관리, 딥러닝","고객 중심 사고, 관련 전공, 노하우, 논문 적용, 문제 해결 능력","WRF, VCS, virtual env",에너지,2021,9,4487,중소기업,999,17억,,999,4.1,4,3.2,3.8,3.7,3.8,89,89,89,"수평적인 기업 문화, 퇴사율 10% 이하 ,간식
 
 스타트업
 
 설립3년이하
 
 퇴사율5%이하
 
 IT, 컨텐츠",999,999,https://www.wanted.co.kr/wd/212373
14,원티드,데이터 분석가,닥터나우,데이터 분석가,데이터 분석가,상시채용,1,2,7,999,,구비 서류: 자유양식의 이력서 또는 경력기술(PDF 형식),채용 절차: 서류 심사 ＞ 기술 인터뷰 ＞ 핏 인터뷰 ＞ 최종 합격 ＞ 처우 협의 ＞ 입사,정규직,999,서울,강남,999,"데이터 추출, 데이터 가공, 데이터 분석, 마케팅, 비즈니스 데이터, 제품 데이터,","가설 검증, 문제 정의, 논리적 사고, 분석적 사고, 커뮤니케이션, 책임감, 경력 2년","SQL, Python","앱 개발, 클라우드 환경, 대용량 데이터 분석, 빅 데이터, 로그 데이터, 데이터 가공, 데이터 분석, 모델링, Hadoop","분석 프로세스 경험, 프로젝트 경험, 플랫폼 비즈니스 이해, 고객 중심 사고, 유저/공급자 행동에 대한 관심",Hadoop,의료,2019,57,6303,중소기업,999,5914만원,,999,2.5,3,2.2,2.6,2.9,2.2,19,29,19,"퇴사율 10% 이하, 병역 대체 가능
  ,건강검진
 
 산업기능요원
 
 설립4~9년
 
 퇴사율5%이하
 
 IT, 컨텐츠",999,999,https://www.wanted.co.kr/wd/203918
15,원티드,데이터 분석가,연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝)","데이터 분석가, AI, ML, DL",상시채용,1,1,15,학력 무관,,999,999,정규직,999,경기,김포,999,"데이터 분석, 데이터 추출, 데이터 시각화","논리적 사고, 분석적 사고, 문제 정의","SQL, Python, Tableau, BI, 엑셀, matplotlib","클라우드 환경, 머신러닝, 딥러닝, 시계열 데이터, 모델링, 모델 개발","관련 전공, 석사, 박사, 사내 어린이집 이용 가능","Matlab, GCP, AWS",응용 소프트웨어 개발,1997,41,"4,335",중소기업,999,"44억 3,931만원",,999,2.3,1.9,3.2,2.2,2.4,1.8,23,24,19,"지속 성장중인 기업, 수평적인 기업 문화, 다양한 근무 지원 제도 운영 ,어린이집
 
 커피
 
 음료
 
 간식
 
 석식제공
 
 기숙사
 
 인원급성장
 
 50명이하
 
 설립10년이상
 
 육아휴직
 
 주차
 
 IT, 컨텐츠",17,20,https://www.wanted.co.kr/wd/202936
16,원티드,데이터 분석가,딥인사이트,Data Scientist,데이터 사이언티스트,상시채용,1,0,0,관련 학사,,이력서 및 포트폴리오 제출 부탁드립니다. (현재 연봉정보 및 희망 연봉정보 필수 기입 부탁드립니다.),999,정규직,999,경기,성남,999,"이공계 연구 경험, 통계, 데이터 고도화, DL, DL 모델 성능 향상","인공지능에 대한 깊은 이해, 관련 분야 학위, 논문 IT 관련 지식, SW 테스트 업무에 대한 관심","SQL, Python, Pytorch","MLOps 경험, 프로그래밍 언어, 개발","협업 툴 경험, 협업 능력, 문제 정의, 문제 해결 능력, 영어, 관련 전공, 석사, 경력 3년","Jira, Confluence, MS Teams,  MLOps, C/C++",응용 소프트웨어 개발,2020,31,"5,882",중소기업,999,8.2억원,,999,3,3,3.7,3.7,2.7,3.3,67,67,67,"연봉 업계 평균 이상, 지속 성장중인 기업, 수평적인 기업 문화 ,건강검진
 
 인공지능
 
 연봉상위11~20%
 
 인원급성장
 
 50명이하
 
 설립4~9년
 
 자율복장
 
 IT, 컨텐츠",10,19,https://www.wanted.co.kr/wd/214061
17,"원티드,잡코리아",데이터 분석가,발란(BALAAN),그로스 데이터 분석가,데이터 분석가,2024.05.11,1,3,7,학력 무관,,"이력서, 포트폴리오
(포트폴리오 필수 항목)
  - 기간
  - 내용
  - 해결해야하는 문제
  - 목표
  - 목표 달성을 위한 전략
  - 예산 및 실제 결과 및 인사이트",서류전형 - 1차면접 - 2차면접 - 임원면접 - 최종합격,정규직,주5일제 (10:00~19:00),서울,강남,999,"데이터 분석, GA4, MMP, CRM, Funnel 분석, 코호트 분석, Retention, AARRR, 데이터 전처리, KPI 지표 분석, 최적화, 데이터 시각화","논리적 사고, 분석적 사고, 문제 정의, 가설 수립, 인사이트 도출","SQL, Python, GA4, MMP, BigQuery, Tableau, Lookerstudio","데이터 파이프라인 구축, 이커머스, 패션 이커머스, 플랫폼 마케팅, CRM, 개발, 프로그래밍 언어","경력, 협업 능력, 인사이트 도출, 액션 도출, 커뮤니케이션","SQL, Python, Java, SEO, SEM",이커머스,2015,160,"4,999",중소기업,비상장,521.7억,,"즉시 지원, 홈페이지 지원",2.7,2.8,2.4,2.6,2.8,2.4,41,47,38,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,결혼기념일
 
 커피
 
 교육비
 
 수평적조직
 
 동호회
 
 안마의자
 
 리프레시휴가
 
 연봉업계평균이상
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 판매, 유통",76,25,https://www.wanted.co.kr/wd/210200
18,원티드,데이터 분석가,띵스파이어,머신러닝 개발자 - DL/ML 기반 데이터 분석,머신러닝 개발자,상시채용,1,3,7,"[우대] 관련 석사,박사",컴퓨터 사이언스 및 빅데이터 분석,999,999,정규직,999,서울,용산,999,"DL, ML, 모델링, 모델 개발 능력, 과학계산용 라이브러리 활용 능력",경력 3년,"Python, Tensorflow, Keras, Pytorch","제조, 물류, AI, 통계, 통계적 분석, 시계열 분석, 이상 탐지, 신호 처리, 특성인자 엔지니어링, 데이터 정규화, 모델링, 모델 최적화, 하이퍼 파라미터 튜닝, Java 프로그래밍, 심층신경망, 머신러닝, 딥러닝, 개발, 프로그래밍 언어, 예측 모델링","제조, 물류 분야 경험, 관련 전공, 석사, 박사,  AI 경험, 인사이트 도출, 액션 도출, 새로운 도메인 학습",999,응용 소프트웨어 개발,2014,24,"5,376",중소기업,999,"29억5,605만원",,999,4,3.6,3.8,3.4,3.6,3.2,80,100,60,"연봉 업계 평균 이상, 퇴사율 10% 이하, 요즘 뜨는 산업 ,교육비
 
 식비
 
 인공지능
 
 연봉상위11~20%
 
 50명이하
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",5,2,https://www.wanted.co.kr/wd/207290
19,원티드,데이터 분석가,펑타이그레이터차이나(피티코리아),데이터 분석,데이터 분석가,2024.4.15,1,3,7,대졸(4년),,999,서류 합격 여부 통보 : 지원서 순차적 확인 후 개별 통보,정규직,선택적시간근무제(코어타임),서울,강남,999,"데이터 추출, 데이터 분석, 로그 데이터, 통계","원활한 커뮤니케이션, 인사이트 도출, 경력 3~7년","Adobe Analytics, MS Office, R, Python, SQL, SPSS","App/Web 서비스 데이터, 데이터 시각화, 대시보드 구축",영어로 소통,"Google Analytics, Microsoft Office, Excel",마케팅,2013,685,"4,669",중소기업,999,"940억 5,063만원",,999,3.2,2.9,3,3.5,2.8,2.6,54,55,24,"연봉 업계 평균 이상, 지속 성장중인 기업, 일한만큼 받는 보상 ,건강검진
 
 교육비
 
 성과급
 
 복지포인트
 
 통신비
 
 연봉업계평균이상
 
 인원급성장
 
 301~1,000명
 
 설립10년이상
 
 IT, 컨텐츠",320,400,https://www.wanted.co.kr/wd/176329
20,원티드,데이터 분석가,반프,R&D / Data Scientist & Data Analyst,"데이터 분석가, 데이터 사이언티스트",상시채용,1,3,10,석사,,999,999,정규직,999,서울,강남,999,"데이터 과학, 머신러닝, 모델링, 클라우드 기반 데이터, 프로그래밍 언어","인사이트 도출, 석사 학위, 경력 3년","Python, Scikit-learn, Pytorch, Web Application, Android","프로그래밍 언어, 센서 데이터, Neural Network 최적화","센서에 대한 이해, GPS, IMU, edge devices 배포 경험","Python, C/C++, C#, JavaScript, FFT",모빌리티,2021,20,"5,067",중소기업,999,"1억 2,316만원",,999,4.7,4.2,4.7,4.2,4.7,4.7,100,100,100,"다양한 근무 지원 제도 운영 ,결혼기념일
 
 커피
 
 간식
 
 도서구매비
 
 교육비
 
 유연근무
 
 식비
 
 IT, 컨텐츠",8,17,https://www.wanted.co.kr/wd/193901
21,"원티드,링크드인",데이터 분석가,쿠팡,Senior Data Analyst (CX Product)/Senior Data Analyst (Core CX Product Analytics),데이터 분석가,상시채용,1,5,20,999,,999,• 서류전형 - 쿼리테스트 - 1차 화상면접 - 2차 화상면접 - 최종 합격,정규직,풀타임,서울,송파,999,"비즈니스 분석, 데이터 분석, 데이터 사이언스, 모델링, 차원 모델링, 빅데이터, 데이터 시각화, 통계","분석적 사고, 디테일, 비즈니스 감각, 효율적, 빠르고 역동적인 환경, 멀티테스킹 역량, 학사, 경력 3년","SQL, HQL, ETL, Hadoop, Spark, Presto, Excel, Tableau, Power BI","통계, 통계적 분석, 데이터 시각화, 머신러닝, 모델링, 딥러닝, A/B 테스트","관련 전공, 석사, 박사, MBA","Python, R, SAS, Hive, Presto, Airflow, ableau, Qlik, Looker, Power BI",이커머스,2013,10485,"4,898",대기업,999,20.3조,,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,"https://www.wanted.co.kr/wd/200992,https://linkedin.com/jobs/search/?currentJobId=3826299130&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true"
22,원티드,데이터 분석가,우아한청년들,딜리버리 인사이트 데이터 분석가(Business Analyst),데이터 분석가,상시채용,1,5,10,[우대] 관련 학사,데이터분석/통계/수학,999,"채용프로세스 상 서류전형 이후부터는 우아한청년들 채용시스템을 통해서 면접전형이 진행됩니다. 
 - 서류전형 합격 시 우아한청년들 인재영입 사이트 지원서 등록 절차가 진행됨을 사전에 안내드립니다.",정규직,999,서울,송파,999,"데이터 분석, 비즈니스 분석, 데이터 시각화","논리적 사고, 커뮤니케이션, 액션플랜 도출, 경력 5년","SQL, BI","데이터 분석, 통계, 수학, 지표 설계 데이터 시각화","협업 능력, 커뮤니케이션, 인사이트 도출, 관련 전공","Tableau, Redash, Python, SQL",이커머스,2015,1525,"2,914",중소기업,999,"1조 1,296억 7,493만원",,999,3.3,2.8,3.4,2.8,2.8,2.8,45,58,39,"지속 성장중인 기업, 다양한 근무 지원 제도 운영, 재택근무 ,재택근무
 
 복지포인트
 
 노트북
 
 인원급성장
 
 1,001~10,000명
 
 설립4~9년
 
 주35시간
 
 물류, 운송",2125,2280,https://www.wanted.co.kr/wd/214700
